sequenceNumber;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

14359; -0.3438; 0.3047; -9.5752;   0.00;  -0.00;   0.00;  -0.34;   0.90;   0.08 
14360; -0.3379; 0.2686; -9.5098;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.07 
14361; -0.2646; 0.2588; -9.5635;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14362; -0.3848; 0.2793; -9.5518;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14363; -0.3643; 0.3682; -9.6113;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14364; -0.3594; 0.2939; -9.6250;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14365; -0.2480; 0.2783; -9.5684;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14366; -0.3154; 0.3291; -9.5723;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14367; -0.3223; 0.2783; -9.5791;  -0.00;   0.00;   0.00;  -0.32;   0.91;   0.08 
14368; -0.3398; 0.3203; -9.6221;   0.00;   0.00;  -0.00;  -0.33;   0.91;   0.08 
14369; -0.2939; 0.2695; -9.5889;   0.00;   0.00;  -0.00;  -0.32;   0.91;   0.07 
14370; -0.2920; 0.3223; -9.5850;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14371; -0.3301; 0.2988; -9.6143;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14372; -0.3652; 0.2939; -9.6924;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14373; -0.2725; 0.2930; -9.6289;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14374; -0.3320; 0.3174; -9.5371;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.07 
14375; -0.3848; 0.2891; -9.6113;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14376; -0.3145; 0.3193; -9.7090;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14377; -0.2998; 0.3066; -9.6973;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.07 
14378; -0.2969; 0.2891; -9.6621;   0.00;  -0.00;   0.00;  -0.33;   0.92;   0.07 
14379; -0.3096; 0.3057; -9.6738;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.07 
14380; -0.2734; 0.3242; -9.5020;   0.00;   0.00;   0.00;  -0.32;   0.89;   0.09 
14381; -0.3750; 0.2588; -9.5596;   0.00;   0.00;   0.00;  -0.32;   0.91;   0.08 
14382; -0.2988; 0.3057; -9.5928;  -0.00;  -0.00;  -0.00;  -0.34;   0.90;   0.08 
14383; -0.2891; 0.2842; -9.5908;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14384; -0.3486; 0.3125; -9.5869;   0.00;   0.00;   0.00;  -0.32;   0.90;   0.08 
14385; -0.3154; 0.3301; -9.5508;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14386; -0.3223; 0.2705; -9.5674;  -0.00;  -0.00;   0.00;  -0.32;   0.91;   0.08 
14387; -0.3672; 0.2402; -9.5322;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14388; -0.3379; 0.2988; -9.6182;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.08 
14389; -0.3330; 0.3525; -9.5859;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14390; -0.3770; 0.2627; -9.5527;   0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14391; -0.3203; 0.2764; -9.6006;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14392; -0.2998; 0.3428; -9.6201;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14393; -0.3027; 0.2998; -9.5713;   0.00;  -0.00;  -0.00;  -0.32;   0.91;   0.07 
14394; -0.2764; 0.3115; -9.5498;  -0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14395; -0.3301; 0.2773; -9.6309;   0.00;   0.00;   0.00;  -0.32;   0.90;   0.08 
14396; -0.3086; 0.2939; -9.6211;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.08 
14397; -0.3027; 0.3174; -9.5254;   0.00;   0.00;   0.00;  -0.33;   0.91;   0.07 
14398; -0.3057; 0.3545; -9.5674;  -0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14399; -0.3291; 0.2754; -9.5547;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14400; -0.3223; 0.2969; -9.5684;   0.00;  -0.00;  -0.00;  -0.33;   0.91;   0.07 
14401; -0.3408; 0.3340; -9.6602;   0.00;  -0.00;   0.00;  -0.32;   0.90;   0.08 
14402; -0.2832; 0.3379; -9.6924;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.08 
14403; -0.2900; 0.3047; -9.6504;   0.00;  -0.00;   0.00;  -0.32;   0.91;   0.07 
14404; -0.3037; 0.2705; -9.6250;  -0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14405; -0.2676; 0.3154; -9.5908;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14406; -0.2627; 0.2725; -9.5918;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14407; -0.3662; 0.3545; -9.5664;  -0.00;  -0.00;   0.00;  -0.33;   0.90;   0.08 
14408; -0.3232; 0.2900; -9.6455;   0.00;  -0.00;   0.00;  -0.33;   0.91;   0.07 
14409; -0.3750; 0.2998; -9.5869;   0.00;   0.00;   0.00;  -0.33;   0.90;   0.08 
14410; -0.3232; 0.3340; -9.6514;  -0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14411; -0.3086; 0.3271; -9.5850;   0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
14412; -0.3516; 0.3037; -9.6113;  -0.00;  -0.00;  -0.00;  -0.33;   0.90;   0.08 
