sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
60; -1.9442; -0.0186; 64.2279; -0.0752; 0.2920; -9.7910;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
61; -1.9360; -0.0239; 64.7026; -0.0166; 0.4248; -9.8057;   0.01;  -0.04;   1.05;  -0.24;   0.18;   0.05 
62; -1.9222; -0.0330; 65.1847; 0.0400; 0.2715; -9.7930;   0.02;  -0.04;   1.05;  -0.23;   0.17;   0.06 
63; -1.9202; -0.0346; 65.6646; 0.0146; 0.3428; -9.7139;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
64; -1.9087; -0.0341; 66.1520; 0.0898; 0.3340; -9.7939;   0.02;  -0.04;   1.05;  -0.24;   0.18;   0.06 
65; -1.9009; -0.0397; 66.6260; 0.0283; 0.2158; -9.7803;   0.02;  -0.04;   1.04;  -0.24;   0.18;   0.05 
66; -1.8893; -0.0394; 67.1096; -0.0156; 0.2666; -9.8047;   0.02;  -0.04;   1.04;  -0.24;   0.18;   0.07 
67; -1.8778; -0.0392; 67.5891; -0.0762; 0.3252; -9.8447;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.07 
68; -1.8647; -0.0489; 68.0762; -0.0947; 0.3291; -9.8271;   0.02;  -0.04;   1.05;  -0.23;   0.17;   0.07 
69; -1.8571; -0.0547; 68.5519; -0.0947; 0.3398; -9.7812;   0.02;  -0.04;   1.04;  -0.24;   0.17;   0.07 
70; -1.8499; -0.0607; 69.0331; -0.0293; 0.3174; -9.7617;   0.02;  -0.04;   1.05;  -0.23;   0.18;   0.06 
71; -1.8426; -0.0666; 69.5144; -0.0146; 0.2422; -9.7842;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
72; -1.8256; -0.0709; 69.9919; 0.0635; 0.3555; -9.7881;   0.02;  -0.04;   1.05;  -0.23;   0.17;   0.06 
73; -1.8185; -0.0770; 70.4787; 0.0479; 0.2695; -9.7461;   0.02;  -0.04;   1.04;  -0.24;   0.17;   0.07 
74; -1.8072; -0.0775; 70.9522; 0.0527; 0.2109; -9.7812;   0.02;  -0.04;   1.05;  -0.23;   0.16;   0.07 
75; -1.7962; -0.0781; 71.4333; -0.0020; 0.3555; -9.8232;   0.02;  -0.04;   1.05;  -0.23;   0.17;   0.07 
76; -1.7896; -0.0844; 71.9202; -0.0811; 0.3125; -9.8398;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
77; -1.7785; -0.0852; 72.3974; -0.0645; 0.2871; -9.8672;   0.02;  -0.04;   1.05;  -0.25;   0.16;   0.06 
78; -1.7719; -0.0917; 72.8805; -0.0762; 0.3428; -9.8154;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
79; -1.7651; -0.0981; 73.3633; -0.0820; 0.2773; -9.7930;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
80; -1.7542; -0.0991; 73.8426; -0.0215; 0.2676; -9.7734;   0.02;  -0.04;   1.05;  -0.24;   0.17;   0.06 
81; -1.7478; -0.1059; 74.3183; -0.0176; 0.3340; -9.7568;   0.02;  -0.04;   1.05;  -0.25;   0.17;   0.06 
82; -1.7414; -0.1126; 74.8033; 0.0049; 0.2764; -9.7539;   0.02;  -0.04;   1.05;  -0.24;   0.16;   0.07 
83; -1.7307; -0.1138; 75.2863; 0.0039; 0.3301; -9.7734;   0.02;  -0.04;   1.05;  -0.24;   0.16;   0.07 
84; -1.7245; -0.1206; 75.7659; 0.0137; 0.2969; -9.7852;   0.02;  -0.04;   1.04;  -0.24;   0.16;   0.06 
