sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

9814; -2.4741; -1.1700; 125.2861; -0.1816; 0.4512; -9.9717;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.58 
9815; -2.4741; -1.1700; 125.2861; -0.1543; 0.4258; -9.9346;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9816; -2.4741; -1.1700; 125.2861; -0.1758; 0.4199; -9.9062;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9817; -2.4741; -1.1700; 125.2861; -0.2041; 0.4541; -9.8760;   0.00;  -0.00;   0.00;  -0.20;  -0.30;   0.59 
9818; -2.4741; -1.1700; 125.2861; -0.1484; 0.4473; -9.9990;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9819; -2.4709; -1.1762; 125.2862; -0.1416; 0.4580; -9.8242;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9820; -2.4709; -1.1762; 125.2862; -0.1621; 0.4082; -9.9854;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9821; -2.4709; -1.1762; 125.2862; -0.1963; 0.4482; -9.9619;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9822; -2.4709; -1.1762; 125.2862; -0.1953; 0.4395; -9.9268;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9823; -2.4709; -1.1762; 125.2862; -0.1855; 0.4336; -9.8965;   0.00;   0.00;   0.00;  -0.21;  -0.29;   0.59 
9824; -2.4709; -1.1762; 125.2862; -0.0947; 0.4561; -9.8945;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9825; -2.4709; -1.1762; 125.2862; -0.1807; 0.4033; -9.9092;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.58 
9826; -2.4709; -1.1762; 125.2862; -0.1982; 0.3975; -9.9639;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9827; -2.4709; -1.1762; 125.2862; -0.1738; 0.3877; -9.9521;   0.00;   0.00;   0.00;  -0.20;  -0.30;   0.59 
9828; -2.4709; -1.1762; 125.2862; -0.1406; 0.4287; -9.9473;   0.00;  -0.00;   0.00;  -0.20;  -0.28;   0.58 
9829; -2.4709; -1.1762; 125.2862; -0.1758; 0.4062; -9.9404;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9830; -2.4709; -1.1762; 125.2862; -0.2168; 0.3779; -9.9619;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9831; -2.4709; -1.1762; 125.2862; -0.1562; 0.3936; -9.9121;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.58 
9832; -2.4709; -1.1762; 125.2862; -0.0967; 0.4258; -9.9268;   0.00;   0.00;   0.00;  -0.21;  -0.29;   0.59 
9833; -2.4709; -1.1762; 125.2862; -0.1982; 0.4229; -9.9844;   0.00;   0.00;   0.00;  -0.20;  -0.29;   0.59 
9834; -2.4709; -1.1762; 125.2862; -0.2393; 0.4355; -9.9619;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.60 
9835; -2.4709; -1.1762; 125.2862; -0.1768; 0.4648; -9.9502;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9836; -2.4709; -1.1762; 125.2862; -0.1592; 0.4219; -9.8877;   0.00;  -0.00;   0.00;  -0.19;  -0.29;   0.59 
9837; -2.4709; -1.1762; 125.2862; -0.2070; 0.4502; -9.8906;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9838; -2.4709; -1.1762; 125.2862; -0.2021; 0.3965; -9.9307;   0.00;   0.00;   0.00;  -0.21;  -0.29;   0.59 
9839; -2.4709; -1.1762; 125.2862; -0.1924; 0.4482; -9.8975;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9840; -2.4709; -1.1762; 125.2862; -0.1641; 0.3779; -9.9336;   0.00;  -0.00;  -0.00;  -0.20;  -0.29;   0.58 
9841; -2.4709; -1.1762; 125.2862; -0.0996; 0.4541; -9.9258;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9842; -2.4709; -1.1762; 125.2862; -0.2021; 0.4229; -10.0625;  -0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9843; -2.4709; -1.1762; 125.2862; -0.1875; 0.4248; -9.9102;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9844; -2.4709; -1.1762; 125.2862; -0.2236; 0.4023; -9.8848;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9845; -2.4709; -1.1762; 125.2862; -0.1650; 0.4521; -9.9482;   0.00;  -0.00;   0.00;  -0.20;  -0.30;   0.60 
9846; -2.4709; -1.1762; 125.2862; -0.2031; 0.4619; -9.9590;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9847; -2.4709; -1.1762; 125.2862; -0.1748; 0.3936; -9.9834;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.58 
9848; -2.4709; -1.1762; 125.2862; -0.1523; 0.4668; -9.9336;   0.00;   0.00;   0.00;  -0.21;  -0.29;   0.59 
9849; -2.4709; -1.1762; 125.2862; -0.1221; 0.4004; -10.0312;   0.00;   0.00;   0.00;  -0.20;  -0.28;   0.58 
9850; -2.4709; -1.1762; 125.2862; -0.1738; 0.4307; -9.9316;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
9851; -2.4709; -1.1762; 125.2862; -0.2070; 0.4238; -9.8936;   0.00;  -0.00;   0.00;  -0.21;  -0.29;   0.59 
9852; -2.4709; -1.1762; 125.2862; -0.1709; 0.4102; -9.9160;   0.00;  -0.00;   0.00;  -0.20;  -0.29;   0.59 
