TimeStamp;(accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 

Sensors:
     0. Accelerometer @ 2000 us.
     1. Gyroscope @ 2000 us.
     2. Magnetometer @ 2000 us.
     3. Ambient Light Sensor disabled.
     4. Pressure Sensor disabled.
     5. Proximity Sensor disabled.
     6. Sensor Fusion @ 2000 us.

1687869136.5517; -0.3906; 0.3359; -9.5977;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.5537; -0.3369; 0.3066; -9.7158;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5557; -0.3379; 0.3096; -9.6514;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.5577; -0.3428; 0.3047; -9.6465;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5597; -0.3701; 0.3477; -9.7119;  -0.00;   0.00;  -0.00;  -0.35;   1.05;  -0.26 
1687869136.5617; -0.3818; 0.2920; -9.7109;   0.00;   0.00;   0.00;  -0.36;   1.06;  -0.28 
1687869136.5643; -0.3008; 0.3096; -9.7041;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.5657; -0.3223; 0.2744; -9.7314;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.28 
1687869136.5677; -0.3389; 0.3320; -9.6885;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5697; -0.3691; 0.2676; -9.7021;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.5717; -0.2920; 0.2939; -9.6172;  -0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.26 
1687869136.5737; -0.3018; 0.3223; -9.6084;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5757; -0.3154; 0.2920; -9.6143;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5777; -0.3975; 0.2900; -9.6514;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5797; -0.3223; 0.2715; -9.5840;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5817; -0.2695; 0.3164; -9.5664;   0.00;   0.00;   0.00;  -0.36;   1.05;  -0.26 
1687869136.5837; -0.3223; 0.2988; -9.5469;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5857; -0.3330; 0.3457; -9.6523;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.26 
1687869136.5877; -0.3350; 0.2617; -9.6416;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.27 
1687869136.5897; -0.3271; 0.2764; -9.6006;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5917; -0.3574; 0.3486; -9.6807;  -0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.5937; -0.4033; 0.3223; -9.6855;  -0.00;   0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.5957; -0.3271; 0.3096; -9.7275;  -0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.5977; -0.3174; 0.2480; -9.6084;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.5997; -0.3604; 0.3135; -9.7061;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6017; -0.3389; 0.3477; -9.7031;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.27 
1687869136.6037; -0.3535; 0.2930; -9.6016;   0.00;  -0.00;   0.00;  -0.35;   1.06;  -0.26 
1687869136.6057; -0.3555; 0.3105; -9.6699;   0.00;  -0.00;   0.00;  -0.36;   1.06;  -0.27 
1687869136.6077; -0.3330; 0.3115; -9.6494;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6097; -0.3643; 0.2939; -9.6875;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.28 
1687869136.6117; -0.3838; 0.2988; -9.6992;   0.00;   0.00;   0.00;  -0.36;   1.05;  -0.27 
1687869136.6137; -0.3350; 0.3027; -9.5879;   0.00;  -0.00;   0.00;  -0.35;   1.05;  -0.27 
1687869136.6157; -0.3086; 0.3037; -9.6240;   0.00;  -0.00;  -0.00;  -0.35;   1.06;  -0.26 
1687869136.6177; -0.3447; 0.3154; -9.6035;   0.00;   0.00;  -0.00;  -0.35;   1.06;  -0.27 
1687869136.6197; -0.3691; 0.3301; -9.6289;   0.00;  -0.00;  -0.00;  -0.35;   1.05;  -0.26 
