sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
10915; -4.7195; -7.4138; -130.4992; -0.5527; 0.2891; -8.8154;  -0.00;   0.18;   0.01;  -0.35;   0.43;   0.03 
10916; -4.7154; -7.3229; -130.4973; -0.7900; 0.2891; -8.5781;  -0.00;   0.19;   0.01;  -0.35;   0.43;   0.02 
10917; -4.7206; -7.2355; -130.5027; -0.4775; 0.2744; -8.7334;  -0.00;   0.20;   0.01;  -0.35;   0.43;   0.03 
10918; -4.7209; -7.1348; -130.5031; -0.4707; 0.3643; -8.6855;  -0.00;   0.21;   0.01;  -0.35;   0.43;   0.03 
10919; -4.7203; -7.0347; -130.5100; -0.7705; 0.4287; -8.5352;   0.00;   0.22;   0.01;  -0.36;   0.43;   0.03 
10920; -4.7167; -6.9281; -130.5092; -0.4414; 0.4258; -8.6719;   0.00;   0.24;   0.01;  -0.35;   0.43;   0.03 
10921; -4.7195; -6.8186; -130.5079; -0.5830; 0.4580; -8.6426;   0.00;   0.25;   0.01;  -0.35;   0.43;   0.03 
10922; -4.7194; -6.7029; -130.5160; -0.4854; 0.3682; -8.5898;   0.00;   0.26;   0.01;  -0.36;   0.42;   0.04 
10923; -4.7164; -6.5807; -130.5247; -0.1846; 0.2627; -8.5430;   0.00;   0.27;   0.01;  -0.35;   0.43;   0.03 
10924; -4.7143; -6.4580; -130.5267; -0.5215; 0.3223; -8.5928;   0.00;   0.28;   0.01;  -0.36;   0.42;   0.03 
10925; -4.7118; -6.3202; -130.5365; -0.1641; 0.2832; -8.7861;   0.00;   0.29;   0.01;  -0.36;   0.42;   0.03 
10926; -4.7122; -6.1887; -130.5368; -0.5127; 0.3125; -8.6504;   0.00;   0.30;   0.01;  -0.36;   0.42;   0.03 
10927; -4.7131; -6.0415; -130.5383; -0.2383; 0.3525; -8.5703;   0.00;   0.31;   0.01;  -0.36;   0.42;   0.03 
10928; -4.7077; -5.8974; -130.5484; -0.4043; 0.3193; -8.6113;   0.00;   0.33;   0.01;  -0.37;   0.43;   0.03 
10929; -4.7121; -5.7410; -130.5500; -0.3926; 0.4961; -8.7393;   0.00;   0.34;   0.01;  -0.37;   0.42;   0.03 
10930; -4.7101; -5.5876; -130.5604; -0.5117; 0.4648; -9.3887;   0.00;   0.35;   0.01;  -0.37;   0.42;   0.03 
10931; -4.7053; -5.4278; -130.5712; -1.6562; 0.7480; -10.8770;   0.00;   0.35;   0.01;  -0.37;   0.43;   0.03 
10932; -4.7038; -5.2587; -130.5738; -0.2617; 0.5938; -12.3965;   0.00;   0.36;   0.01;  -0.37;   0.42;   0.03 
10933; -4.7019; -5.1054; -130.5836; -0.8057; 0.3818; -12.6143;   0.00;   0.33;   0.01;  -0.38;   0.42;   0.03 
10934; -4.7029; -4.9585; -130.5925; -0.2705; 0.3262; -12.6416;  -0.00;   0.31;   0.01;  -0.38;   0.42;   0.03 
10935; -4.7032; -4.8271; -130.5916; 0.3330; -0.0020; -12.5225;  -0.00;   0.28;   0.01;  -0.38;   0.42;   0.03 
10936; -4.7003; -4.7051; -130.5988; -0.8174; 0.4814; -11.6816;  -0.00;   0.25;   0.01;  -0.37;   0.43;   0.03 
10937; -4.7010; -4.5890; -130.5985; -0.7188; 0.5898; -11.2500;  -0.00;   0.24;   0.02;  -0.38;   0.42;   0.03 
10938; -4.7047; -4.4795; -130.6061; -0.8525; 0.8770; -10.5713;   0.00;   0.23;   0.01;  -0.38;   0.42;   0.03 
10939; -4.7040; -4.3794; -130.6026; -1.1846; 0.8916; -9.9980;  -0.00;   0.22;   0.01;  -0.38;   0.42;   0.04 
10940; -4.7043; -4.2791; -130.6096; -0.3711; 0.5068; -10.0908;  -0.00;   0.22;   0.00;  -0.39;   0.43;   0.03 
10941; -4.7038; -4.1794; -130.6232; -0.1875; 0.1982; -10.1475;  -0.00;   0.22;   0.00;  -0.38;   0.43;   0.03 
10942; -4.7032; -4.0795; -130.6282; -0.3604; 0.1279; -10.5879;  -0.00;   0.22;   0.00;  -0.38;   0.42;   0.03 
