sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
277; -2.4564; -0.9795; 12.3595; -0.1445; 0.4121; -9.8857;   0.00;   0.00;   0.00;   0.07;   0.63;  -0.02 
278; -2.4564; -0.9795; 12.3595; -0.1611; 0.4072; -9.8711;   0.00;   0.00;   0.00;   0.06;   0.63;  -0.02 
279; -2.4564; -0.9795; 12.3595; -0.1797; 0.4131; -9.8584;  -0.00;  -0.00;   0.01;   0.07;   0.63;  -0.02 
280; -2.4494; -0.9801; 12.3663; -0.2070; 0.4258; -9.8818;  -0.00;  -0.00;   0.01;   0.06;   0.64;  -0.02 
281; -2.4494; -0.9800; 12.3731; -0.1748; 0.4209; -9.8652;  -0.00;  -0.00;   0.02;   0.06;   0.64;  -0.03 
282; -2.4494; -0.9798; 12.3799; -0.1592; 0.4268; -9.8994;  -0.00;  -0.00;   0.02;   0.07;   0.64;  -0.02 
283; -2.4495; -0.9795; 12.3935; -0.1660; 0.4111; -9.8662;  -0.00;  -0.00;   0.02;   0.07;   0.63;  -0.03 
284; -2.4495; -0.9794; 12.4003; -0.1631; 0.4141; -9.8682;  -0.00;  -0.00;   0.03;   0.06;   0.63;  -0.03 
285; -2.4500; -0.9789; 12.4229; -0.1680; 0.4268; -9.8320;   0.00;  -0.00;   0.04;   0.07;   0.63;  -0.02 
286; -2.4500; -0.9785; 12.4433; -0.1729; 0.4150; -9.8398;   0.00;  -0.00;   0.05;   0.06;   0.64;  -0.03 
287; -2.4500; -0.9781; 12.4636; -0.1318; 0.3564; -9.8564;  -0.00;  -0.00;   0.06;   0.07;   0.64;  -0.03 
288; -2.4505; -0.9774; 12.4931; -0.1719; 0.3633; -9.8037;   0.00;  -0.00;   0.07;   0.06;   0.64;  -0.02 
289; -2.4436; -0.9775; 12.5270; -0.1338; 0.3604; -9.8447;   0.00;  -0.00;   0.08;   0.06;   0.64;  -0.02 
290; -2.4364; -0.9703; 12.5698; -0.1387; 0.3418; -9.8496;   0.00;  -0.00;   0.10;   0.06;   0.64;  -0.02 
291; -2.4369; -0.9694; 12.6128; -0.1562; 0.3740; -9.8799;   0.00;  -0.00;   0.11;   0.07;   0.64;  -0.02 
292; -2.4301; -0.9691; 12.6671; -0.1318; 0.3564; -9.8613;   0.00;  -0.00;   0.13;   0.06;   0.64;  -0.02 
293; -2.4229; -0.9615; 12.7303; -0.1611; 0.4336; -9.8936;   0.00;  -0.01;   0.14;   0.07;   0.63;  -0.03 
294; -2.4165; -0.9608; 12.8003; -0.1748; 0.3936; -9.8447;   0.00;  -0.00;   0.15;   0.06;   0.63;  -0.02 
295; -2.4105; -0.9601; 12.8727; -0.1582; 0.3906; -9.8809;   0.00;  -0.01;   0.16;   0.05;   0.63;  -0.03 
296; -2.4111; -0.9586; 12.9428; -0.1357; 0.3369; -9.8428;   0.00;  -0.01;   0.17;   0.07;   0.63;  -0.02 
297; -2.4047; -0.9576; 13.0264; -0.1631; 0.4043; -9.8711;   0.00;  -0.01;   0.18;   0.07;   0.64;  -0.02 
298; -2.3975; -0.9498; 13.1099; -0.1582; 0.3965; -9.8457;   0.00;  -0.01;   0.19;   0.07;   0.64;  -0.02 
299; -2.3915; -0.9486; 13.2026; -0.1201; 0.3477; -9.8838;   0.00;  -0.01;   0.20;   0.06;   0.63;  -0.02 
300; -2.3851; -0.9475; 13.2929; -0.1602; 0.3682; -9.8604;   0.00;  -0.01;   0.21;   0.07;   0.63;  -0.02 
301; -2.3791; -0.9463; 13.3923; -0.1865; 0.4150; -9.8301;   0.00;  -0.01;   0.22;   0.07;   0.63;  -0.02 
302; -2.3732; -0.9449; 13.4985; -0.1553; 0.3311; -9.8232;   0.00;  -0.01;   0.23;   0.06;   0.64;  -0.03 
